Row Idx,Title,Candidate Idx,Candidate Title,Score
3931,Poison - Unskinny Bop,229759,Poison - Unskinny Bop,0.998151037424051
3932,New Kids On The Block - Step By Step,229862,New Kids On The Block - Step by Step,0.9986752859389747
3933,Roxette - Dangerous,223152,Roxette - The Look,0.6276375778895003
3934,Billy Joel - We Didn’t Start The Fire,229967,Billy Joel - We Didn't Start the Fire,0.8724037436535
3935,James Ingram - I Don’t Have The Heart,230056,James Ingram - I Don't Have the Heart,0.9041008985146511
3936,Rod Stewart - Downtown Train,230108,Rod Stewart - Downtown Train,0.9982242813632245
3937,Janet Jackson - Rhythm Nation,230161,Janet Jackson - Rhythm Nation,0.9972888649454472
3938,Tommy Page - I’ll Be Your Everything,230178,Tommy Page - I'll Be Your Everything,0.8611903699261185
3939,B-52’s - Roam,230238,The B-52's - Roam,0.6710257881235692
3940,Jody Watley - Everything,189523,Jody Watley - I Want You,0.6427166558639342
